Date,Value
01/01/1955,4.4
01/05/1955,5.8
01/09/1955,6.7
01/01/1956,7.1
01/05/1956,5.7
01/09/1956,4.1
01/01/1957,4.6
01/05/1957,4.3
01/09/1957,2
01/01/1958,2.2
01/05/1958,3.6
01/09/1958,-2.2
01/01/1959,-5.1
01/05/1959,-4.9
01/09/1959,1
01/01/1960,4.1
01/05/1960,3.8
01/09/1960,9.9
01/01/1961,0
01/05/1961,6.5
01/09/1961,10.8
01/01/1962,4.1
01/05/1962,2.7
01/09/1962,-2.9
01/01/1963,-2.9
01/05/1963,1.5
01/09/1963,5.7
01/01/1964,5
01/05/1964,7.9
01/09/1964,6.8
01/01/1965,7.1
01/05/1965,4.1
01/09/1965,5.5
01/01/1966,5.1
01/05/1966,8
01/09/1966,5.6
01/01/1967,4.5
01/05/1967,6.1
01/09/1967,6.7
01/01/1967,6.1
01/05/1967,10.6
01/09/1967,8.6
01/01/1968,11.6
01/05/1968,7.6
01/09/1968,10.9
01/01/1969,14.6
01/05/1969,14.5
01/09/1969,17.4
01/01/1970,11.7
01/05/1970,5.8
01/09/1970,11.5
01/01/1971,11.7
01/05/1971,5
01/09/1971,10
01/01/1972,8.9
01/05/1972,7.1
01/09/1972,8.3
01/01/1973,10.2
01/05/1973,13.3
01/09/1973,6.2
