Date,Value
01/01/1952,47730
01/02/1952,46704
01/03/1952,41535
01/04/1952,41319
01/05/1952,36962
01/06/1952,32558
01/07/1952,31995
01/08/1952,32993
01/09/1952,44834
01/10/1952,29883
01/11/1952,39611
01/12/1952,40099
01/01/1953,38051
01/02/1953,36927
01/03/1953,37272
01/04/1953,39457
01/05/1953,38097
01/06/1953,40226
01/07/1953,43589
01/08/1953,39088
01/09/1953,39409
01/10/1953,37226
01/11/1953,34421
01/12/1953,34975
01/01/1954,32710
01/02/1954,31885
01/03/1954,32106
01/04/1954,30029
01/05/1954,29501
01/06/1954,31620
01/07/1954,34205
01/08/1954,32153
01/09/1954,32764
01/10/1954,33230
01/11/1954,35636
01/12/1954,35550
01/01/1955,34529
01/02/1955,37498
01/03/1955,37229
01/04/1955,36021
01/05/1955,38281
01/06/1955,36676
01/07/1955,44541
01/08/1955,40850
01/09/1955,38404
01/10/1955,37575
01/11/1955,41476
01/12/1955,42267
01/01/1956,43062
01/02/1956,45036
01/03/1956,43769
01/04/1956,42298
01/05/1956,44412
01/06/1956,40498
01/07/1956,37830
01/08/1956,42294
01/09/1956,38330
01/10/1956,43554
01/11/1956,42579
01/12/1956,36911
01/01/1957,42541
01/02/1957,42430
01/03/1957,43465
01/04/1957,44468
01/05/1957,43597
01/06/1957,40774
01/07/1957,42573
01/08/1957,41635
01/09/1957,39030
01/10/1957,41572
01/11/1957,37027
01/12/1957,24732
01/01/1958,36817
01/02/1958,34295
01/03/1958,33218
01/04/1958,32034
01/05/1958,31417
01/06/1958,35719
01/07/1958,30001
01/08/1958,33096
01/09/1958,35196
01/10/1958,36550
01/11/1958,33463
01/12/1958,37195
01/01/1959,34748
01/02/1959,36461
01/03/1959,35754
01/04/1959,36943
01/05/1959,35854
01/06/1959,37912
01/07/1959,30095
01/08/1959,38931
01/09/1959,31020
01/10/1959,31746
01/11/1959,34613
01/12/1959,37901
