Date,Value
01/01/1960,83.3
01/04/1960,83.2
01/07/1960,105.3
01/10/1960,117.7
01/01/1961,104.6
01/04/1961,108.8
01/07/1961,93.9
01/10/1961,86.1
01/01/1962,83
01/04/1962,102.4
01/07/1962,119.6
01/10/1962,141.4
01/01/1963,158.6
01/04/1963,161.3
01/07/1963,158.2
01/10/1963,136.1
01/01/1964,121.9
01/04/1964,97.7
01/07/1964,103.3
01/10/1964,92.7
01/01/1965,106.8
01/04/1965,102.1
01/07/1965,110.3
01/10/1965,114.1
01/01/1966,109.1
01/04/1966,105.4
01/07/1966,97.6
01/10/1966,100.7
01/01/1967,102.7
01/04/1967,110.9
01/07/1967,120.2
01/10/1967,131.3
01/01/1968,138.9
01/04/1968,130.9
01/07/1968,123.1
01/10/1968,110.8
01/01/1969,108.8
01/04/1969,103.8
01/07/1969,97
01/10/1969,93.2
01/01/1970,89.7
01/04/1970,89.9
01/07/1970,90.2
01/10/1970,89.6
01/01/1971,85.8
01/04/1971,96.9
01/07/1971,112.7
01/10/1971,122.7
01/01/1972,119.8
01/04/1972,117.4
01/07/1972,111.9
01/10/1972,104.7
01/01/1973,99.3
01/04/1973,94.9
01/07/1973,93.3
01/10/1973,90.9
01/01/1974,91.9
01/04/1974,97.2
01/07/1974,104.7
01/10/1974,107.7
01/01/1975,108.2
01/04/1975,110.7
01/07/1975,113.2
01/10/1975,114.6
01/01/1976,112.2
01/04/1976,120.2
01/07/1976,122.1
01/10/1976,126.6
01/01/1977,122.3
01/04/1977,113.9
01/07/1977,116.9
01/10/1977,110.1
01/01/1978,110.4
01/04/1978,108.9
01/07/1978,112.1
01/10/1978,117.6
01/01/1979,112.2
01/04/1979,96
01/07/1979,78
01/10/1979,66.9
01/01/1980,83.5
01/04/1980,95.8
01/07/1980,107.7
01/10/1980,113.7
