date,sales
01/01/1960,0.71
01/04/1960,0.63
01/07/1960,0.85
01/10/1960,0.44
01/01/1961,0.61
01/04/1961,0.69
01/07/1961,0.92
01/10/1961,0.55
01/01/1962,0.72
01/04/1962,0.77
01/07/1962,0.92
01/10/1962,0.6
01/01/1963,0.83
01/04/1963,0.8
01/07/1963,1
01/10/1963,0.77
01/01/1964,0.92
01/04/1964,1
01/07/1964,1.24
01/10/1964,1
01/01/1965,1.16
01/04/1965,1.3
01/07/1965,1.45
01/10/1965,1.25
01/01/1966,1.26
01/04/1966,1.38
01/07/1966,1.86
01/10/1966,1.56
01/01/1967,1.53
01/04/1967,1.59
01/07/1967,1.83
01/10/1967,1.86
01/01/1968,1.53
01/04/1968,2.07
01/07/1968,2.34
01/10/1968,2.25
01/01/1969,2.16
01/04/1969,2.43
01/07/1969,2.7
01/10/1969,2.25
01/01/1970,2.79
01/04/1970,3.42
01/07/1970,3.69
01/10/1970,3.6
01/01/1971,3.6
01/04/1971,4.32
01/07/1971,4.32
01/10/1971,4.05
01/01/1972,4.86
01/04/1972,5.04
01/07/1972,5.04
01/10/1972,4.41
01/01/1973,5.58
01/04/1973,5.85
01/07/1973,6.57
01/10/1973,5.31
01/01/1974,6.03
01/04/1974,6.39
01/07/1974,6.93
01/10/1974,5.85
01/01/1975,6.93
01/04/1975,7.74
01/07/1975,7.83
01/10/1975,6.12
01/01/1976,7.74
01/04/1976,8.91
01/07/1976,8.28
01/10/1976,6.84
01/01/1977,9.54
01/04/1977,10.26
01/07/1977,9.54
01/10/1977,8.73
01/01/1978,11.88
01/04/1978,12.06
01/07/1978,12.15
01/10/1978,8.91
01/01/1979,14.04
01/04/1979,12.96
01/07/1979,14.85
01/10/1979,9.99
01/01/1980,16.2
01/04/1980,14.67
01/07/1980,16.02
01/10/1980,11.61
