Date,Value
01/01/2005,3342057
01/02/2005,3221264
01/03/2005,3943904
01/04/2005,3791683
01/05/2005,3829361
01/06/2005,3701630
01/07/2005,4451520
01/08/2005,4220512
01/09/2005,3576357
01/10/2005,3987880
01/11/2005,3891470
01/12/2005,4136407
01/01/2006,3937168
01/02/2006,3697027
01/03/2006,4684826
01/04/2006,4680062
01/05/2006,4688914
01/06/2006,4684670
01/07/2006,5733781
01/08/2006,5254953
01/09/2006,4286802
01/10/2006,4722521
01/11/2006,4796672
01/12/2006,5076755
01/01/2007,4523350
01/02/2007,4423537
01/03/2007,5166155
01/04/2007,4734715
01/05/2007,5030948
01/06/2007,4828060
01/07/2007,5505710
01/08/2007,4930278
01/09/2007,4069264
01/10/2007,4386118
01/11/2007,4430302
01/12/2007,4605031
01/01/2008,4523350
01/02/2008,4423537
01/03/2008,5166155
01/04/2008,4734715
01/05/2008,5030948
01/06/2008,4828060
01/07/2008,5505710
01/08/2008,4930278
01/09/2008,4069264
01/10/2008,4386118
01/11/2008,4430302
01/12/2008,4605031
01/01/2009,4204525
01/02/2009,3930272
01/03/2009,4314064
01/04/2009,4204357
01/05/2009,3240386
01/06/2009,3989274
01/07/2009,4842595
01/08/2009,4541873
01/09/2009,3528040
01/10/2009,3928748
01/11/2009,4007490
01/12/2009,4196572
01/01/2010,3740260
01/02/2010,3360614
01/03/2010,4183949
01/04/2010,3990326
01/05/2010,4269051
01/06/2010,4108433
01/07/2010,5012986
01/08/2010,4615666
01/09/2010,3453045
01/10/2010,3897457
01/11/2010,3909392
01/12/2010,4154993
01/01/2011,3690142
01/02/2011,3380359
01/03/2011,4010541
01/04/2011,4100127
01/05/2011,4343911
01/06/2011,4121138
01/07/2011,5057106
01/08/2011,4617335
01/09/2011,3983068
01/10/2011,4315922
01/11/2011,4376557
01/12/2011,4722839
01/01/2012,4143826
01/02/2012,3854101
01/03/2012,4471972
01/04/2012,4413396
01/05/2012,4549074
01/06/2012,4627073
01/07/2012,5589790
01/08/2012,5119771
01/09/2012,4331667
01/10/2012,4656675
01/11/2012,4690347
01/12/2012,5023559
01/01/2013,4483187
01/02/2013,3944286
01/03/2013,4749551
01/04/2013,4671365
01/05/2013,4916090
01/06/2013,4977859
01/07/2013,6232321
01/08/2013,5664098
01/09/2013,4712016
01/10/2013,5017816
01/11/2013,5163447
01/12/2013,5561396
01/01/2014,5004598
01/02/2014,4298799
01/03/2014,4966123
01/04/2014,5250829
01/05/2014,5475902
01/06/2014,5264603
01/07/2014,6388449
01/08/2014,6018535
01/09/2014,4959534
01/10/2014,5514202
01/11/2014,5631188
01/12/2014,5988319
01/01/2015,5324357
01/02/2015,4793228
01/03/2015,5819580
01/04/2015,5933373
01/05/2015,6123609
01/06/2015,6032436
01/07/2015,7272804
01/08/2015,6850178
01/09/2015,5706549
01/10/2015,6228968
01/11/2015,6389510
01/12/2015,6766603
01/01/2016,6030085
01/02/2016,5484258
01/03/2016,6654794
01/04/2016,6339002
01/05/2016,6834760
01/06/2016,6845389
01/07/2016,8202824
01/08/2016,7669688
01/09/2016,6603886
01/10/2016,7056797
01/11/2016,7238321
01/12/2016,7814060
01/01/2017,7051590
01/02/2017,6137119
01/03/2017,7098459
01/04/2017,7198981
01/05/2017,7564410
