Date,Value
01/01/1965,166.8
01/04/1965,172.8
01/07/1965,178.3
01/10/1965,180.3
01/01/1966,182.6
01/04/1966,184.2
01/07/1966,188.9
01/10/1966,184.4
01/01/1967,181.7
01/04/1967,178.5
01/07/1967,177.6
01/10/1967,181
01/01/1968,186.5
01/04/1968,185.7
01/07/1968,186.4
01/10/1968,186.3
01/01/1969,189.3
01/04/1969,190.6
01/07/1969,191.7
01/10/1969,196.1
01/01/1970,189.3
01/04/1970,192.6
01/07/1970,192.1
01/10/1970,189.4
01/01/1971,189.7
01/04/1971,191.9
01/07/1971,182
01/10/1971,175.7
01/01/1972,192
01/04/1972,192.8
01/07/1972,193.3
01/10/1972,200.2
01/01/1973,208.8
01/04/1973,211.4
01/07/1973,214.4
01/10/1973,216.3
01/01/1974,221.8
01/04/1974,217.1
01/07/1974,214
01/10/1974,202.4
01/01/1975,191.7
01/04/1975,183.9
01/07/1975,185.2
01/10/1975,194.5
01/01/1976,195.8
01/04/1976,198
01/07/1976,200.9
01/10/1976,199
01/01/1977,200.6
01/04/1977,209.5
01/07/1977,208.4
01/10/1977,206.7
01/01/1978,193.3
01/04/1978,197.3
01/07/1978,213.7
01/10/1978,225.1
