Date,Value
01/01/1973,46.5
01/02/1973,47
01/03/1973,47.5
01/04/1973,48.3
01/05/1973,49.1
01/06/1973,50.1
01/07/1973,51.1
01/08/1973,52
01/09/1973,53.2
01/10/1973,53.9
01/11/1973,54.5
01/12/1973,55.2
01/01/1974,55.6
01/02/1974,55.7
01/03/1974,56.1
01/04/1974,56.8
01/05/1974,57.5
01/06/1974,58.3
01/07/1974,58.9
01/08/1974,59.4
01/09/1974,59.8
01/10/1974,60
01/11/1974,60
01/12/1974,60.3
01/01/1975,60.1
01/02/1975,59.7
01/03/1975,59.5
01/04/1975,59.4
01/05/1975,59.3
01/06/1975,59.2
01/07/1975,59.1
01/08/1975,59
01/09/1975,59.3
01/10/1975,59.5
01/11/1975,59.5
01/12/1975,59.5
01/01/1976,59.7
01/02/1976,59.7
01/03/1976,60.5
01/04/1976,60.7
01/05/1976,61.3
01/06/1976,61.4
01/07/1976,61.8
01/08/1976,62.4
01/09/1976,62.4
01/10/1976,62.9
01/11/1976,63.2
01/12/1976,63.4
01/01/1977,63.9
01/02/1977,64.5
01/03/1977,65
01/04/1977,65.4
01/05/1977,66.3
01/06/1977,67.7
01/07/1977,69
01/08/1977,70
01/09/1977,71.4
01/10/1977,72.5
01/11/1977,73.4
01/12/1977,74.6
01/01/1978,75.2
01/02/1978,75.9
01/03/1978,76.8
01/04/1978,77.9
01/05/1978,79.2
01/06/1978,80.5
01/07/1978,82.6
01/08/1978,84.4
01/09/1978,85.9
01/10/1978,87.6
