Date,Value
01/01/1955,4.9
01/04/1955,5.2
01/07/1955,5.7
01/10/1956,5.7
01/01/1957,6.2
01/04/1957,6.7
01/07/1957,6.9
01/10/1957,7.1
01/01/1958,6.6
01/04/1958,7
01/07/1958,6.9
01/10/1958,6.4
01/01/1959,6.6
01/04/1959,6.4
01/07/1959,7
01/10/1959,7.3
01/01/1960,6
01/04/1960,6.3
01/07/1960,4.8
01/10/1960,5.3
01/01/1961,5.4
01/04/1961,4.7
01/07/1961,4.9
01/10/1961,4.4
01/01/1962,5.1
01/04/1962,5.3
01/07/1962,6
01/10/1962,5.9
01/01/1963,5.9
01/04/1963,5.6
01/07/1963,5.3
01/10/1963,4.5
01/01/1964,4.7
01/04/1964,4.6
01/07/1964,4.3
01/10/1964,5
01/01/1965,5.2
01/04/1965,6.2
01/07/1965,5.8
01/10/1965,6.7
01/01/1966,5.7
01/04/1966,6.1
01/07/1966,7.2
01/10/1966,6.5
01/01/1967,6.1
01/04/1967,6.3
01/07/1967,6.4
01/10/1967,7
01/01/1968,7.6
01/04/1968,7.2
01/07/1968,7.5
,
